path	remote_url	org_class	total_commits	local_only_commits	our_identity_commits	testuser_commits	note	class
awesome-ai-memory	git@github.com:topoteretes/awesome-ai-memory.git	THIRD_PARTY	54	0	0	0		THIRD_PARTY_VENDORED
cli_agents/agent-deck	git@github.com:vasic-digital/caf-agent-deck.git	OURS	2386	0	0	7		OURS_DEVELOPED
cli_agents/aiagent	git@github.com:vasic-digital/caf-aiagent.git	OURS	2	0	0	0		OURS_FORK_MIRROR
cli_agents/aichat	git@github.com:vasic-digital/caf-aichat.git	OURS	989	0	0	0		OURS_FORK_MIRROR
cli_agents/aichat-llm-functions	git@github.com:vasic-digital/caf-aichat-llm-functions.git	OURS	185	0	0	0		OURS_FORK_MIRROR
cli_agents/aider	git@github.com:vasic-digital/caf-aider.git	OURS	13138	0	0	0		OURS_FORK_MIRROR
cli_agents/amazon-q	git@github.com:vasic-digital/caf-amazon-q.git	OURS	1127	0	0	0		OURS_FORK_MIRROR
cli_agents/bridle	git@github.com:vasic-digital/caf-bridle.git	OURS	1353	0	0	0		OURS_FORK_MIRROR
cli_agents/claude-code	git@github.com:vasic-digital/caf-claude-code.git	OURS	660	0	0	0		OURS_FORK_MIRROR
cli_agents/claude-code-source	git@gitlab.com:milos85vasic/ccode-private.git	OURS	26	0	26	0		OURS_DEVELOPED
cli_agents/claude-squad	git@github.com:vasic-digital/caf-claude-squad.git	OURS	216	0	0	0		OURS_FORK_MIRROR
cli_agents/cli-agent	git@github.com:vasic-digital/caf-cli-agent.git	OURS	2	0	0	0		OURS_FORK_MIRROR
cli_agents/cline	git@github.com:vasic-digital/caf-cline.git	OURS	6091	0	0	0		OURS_FORK_MIRROR
cli_agents/cline/evals/cline-bench	https://github.com/cline/cline-bench.git	THIRD_PARTY	12	0	0	0		THIRD_PARTY_VENDORED
cli_agents/codai	git@github.com:vasic-digital/caf-codai.git	OURS	188	0	0	0		OURS_FORK_MIRROR
cli_agents/codename-goose	git@github.com:vasic-digital/caf-codename-goose.git	OURS	595	0	0	0		OURS_FORK_MIRROR
cli_agents/codex	git@github.com:vasic-digital/caf-codex.git	OURS	7281	0	0	0		OURS_FORK_MIRROR
cli_agents/codex-skills	git@github.com:vasic-digital/caf-codex-skills.git	OURS	111	0	0	0		OURS_FORK_MIRROR
cli_agents/conduit	git@github.com:vasic-digital/caf-conduit.git	OURS	21	0	0	0		OURS_FORK_MIRROR
cli_agents/copilot-cli	git@github.com:vasic-digital/caf-copilot-cli.git	OURS	284	0	0	0		OURS_FORK_MIRROR
cli_agents/crush	git@github.com:vasic-digital/caf-crush.git	OURS	3521	0	0	0		OURS_FORK_MIRROR
cli_agents/deepseek-cli	git@github.com:vasic-digital/caf-deepseek-cli.git	OURS	13	0	0	0		OURS_FORK_MIRROR
cli_agents/deepseek-cli-youkpan	git@github.com:vasic-digital/caf-deepseek-cli-youkpan.git	OURS	3	0	0	0		OURS_FORK_MIRROR
cli_agents/fauxpilot	git@github.com:vasic-digital/caf-fauxpilot.git	OURS	154	0	0	0		OURS_FORK_MIRROR
cli_agents/forge	git@github.com:vasic-digital/caf-forge.git	OURS	2780	0	0	0		OURS_FORK_MIRROR
cli_agents/gemini-cli	git@github.com:vasic-digital/caf-gemini-cli.git	OURS	6249	0	0	0		OURS_FORK_MIRROR
cli_agents/get-shit-done	git@github.com:vasic-digital/caf-get-shit-done.git	OURS	2928	0	0	0		OURS_FORK_MIRROR
cli_agents/git-mcp	git@github.com:vasic-digital/caf-git-mcp.git	OURS	280	0	0	0		OURS_FORK_MIRROR
cli_agents/gpt-engineer	git@github.com:vasic-digital/caf-gpt-engineer.git	OURS	1648	0	0	0		OURS_FORK_MIRROR
cli_agents/gptme	git@github.com:vasic-digital/caf-gptme.git	OURS	3700	0	0	0		OURS_FORK_MIRROR
cli_agents/junie	git@github.com:vasic-digital/caf-junie.git	OURS	1831	0	0	0		OURS_FORK_MIRROR
cli_agents/mistral-code	git@github.com:vasic-digital/caf-mistral-code.git	OURS	33	0	0	0		OURS_FORK_MIRROR
cli_agents/multiagent-coding	git@github.com:vasic-digital/caf-multiagent-coding.git	OURS	13	0	0	0		OURS_FORK_MIRROR
cli_agents/nanocoder	git@github.com:vasic-digital/caf-nanocoder.git	OURS	2293	0	0	0		OURS_FORK_MIRROR
cli_agents/noi	git@github.com:vasic-digital/caf-noi.git	OURS	126	0	0	0		OURS_FORK_MIRROR
cli_agents/octogen	git@github.com:vasic-digital/caf-octogen.git	OURS	579	0	0	0		OURS_FORK_MIRROR
cli_agents/open-interpreter	git@github.com:vasic-digital/caf-open-interpreter.git	OURS	3120	0	0	0		OURS_FORK_MIRROR
cli_agents/plandex	git@github.com:vasic-digital/caf-plandex.git	OURS	1483	0	0	0		OURS_FORK_MIRROR
cli_agents/postgres-mcp	git@github.com:vasic-digital/caf-postgres-mcp.git	OURS	132	0	0	0		OURS_FORK_MIRROR
cli_agents/qwen-code	git@github.com:vasic-digital/caf-qwen-code.git	OURS	6124	0	0	0		OURS_FORK_MIRROR
cli_agents/shai	git@github.com:vasic-digital/caf-shai.git	OURS	142	0	0	0		OURS_FORK_MIRROR
cli_agents/snow-cli	git@github.com:vasic-digital/caf-snow-cli.git	OURS	1018	0	0	0		OURS_FORK_MIRROR
cli_agents/spec-kit	git@github.com:vasic-digital/caf-spec-kit.git	OURS	1106	0	0	0		OURS_FORK_MIRROR
cli_agents/superset	git@github.com:vasic-digital/caf-superset.git	OURS	2977	0	0	0		OURS_FORK_MIRROR
cli_agents/swe-agent	git@github.com:vasic-digital/caf-swe-agent.git	OURS	2166	0	0	0		OURS_FORK_MIRROR
cli_agents/taskweaver	git@github.com:vasic-digital/caf-taskweaver.git	OURS	657	0	0	0		OURS_FORK_MIRROR
cli_agents/ui-ux-pro-max	git@github.com:vasic-digital/caf-ui-ux-pro-max.git	OURS	134	0	0	0		OURS_FORK_MIRROR
cli_agents/vtcode	git@github.com:vasic-digital/caf-vtcode.git	OURS	6009	0	0	0		OURS_FORK_MIRROR
cli_agents/warp	git@github.com:vasic-digital/caf-warp.git	OURS	1018	0	0	0		OURS_FORK_MIRROR
cli_agents/x-cmd	git@github.com:vasic-digital/caf-x-cmd.git	OURS	615	0	0	0		OURS_FORK_MIRROR
