CM-AB-PASS-WITH-EVIDENCE-EVERYWHERE	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-ACTION-PREFIX-SYSTEM	UNIMPLEMENTED	-
CM-AF-AUTONOMOUS-PATH-PER-FEATURE	UNIMPLEMENTED	-
CM-AF-CLASSIFY-FIX-HELPER-EXISTS	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-DUAL-APPROACH-COVERAGE	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-FEATURE-COVERAGE-MATRIX	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-FIREBASE-ISSUE-XREF	UNIMPLEMENTED	-
CM-AF-FIREBASE-REVIEW-CADENCE	UNIMPLEMENTED	-
CM-AF-INTEGRATION-STATUS-DOCS	UNIMPLEMENTED	-
CM-AF-KINOPOISK-5-1-DUAL-COVERAGE	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-LIVE-ADB-FIRST-COMMIT-MARKER	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-RECENT-WORK-VALIDATION-GATE	UNIMPLEMENTED	-
CM-AF-RELIABILITY-CHECK	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-RELIABILITY-CHECK-WIRED	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-AF-UI-DRIVEN	UNIMPLEMENTED	-
CM-AF-UI-DRIVEN-VIDEO-COVERAGE	UNIMPLEMENTED	-
CM-AF-VALIDATION-ARTIFACT-FILE	UNIMPLEMENTED	-
CM-ALIAS-PRIORITY-LIMIT-TRACKING	UNIMPLEMENTED	-
CM-ANTI-FORGETTING-ENFORCEMENT	UNIMPLEMENTED	-
CM-ATM-TICKET-IDS-COMPLETE	UNIMPLEMENTED	-
CM-ATM-TICKET-IDS-MONOTONIC	UNIMPLEMENTED	-
CM-ATM-TICKET-IDS-UNIQUE	UNIMPLEMENTED	-
CM-AUTONOMOUS-FRAMEWORK-SYNC-CHANNEL	UNIMPLEMENTED	-
CM-AV-LIVENESS-NO-FROZEN-FRAME	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-BACKGROUND-PUSH-WIRED	UNIMPLEMENTED	-
CM-BACKGROUND-TEST-EXECUTION-WIRED	UNIMPLEMENTED	-
CM-BINDING-DOC-IN-REPO	UNIMPLEMENTED	-
CM-BLOCKED-UNBLOCK-CHOICES	UNIMPLEMENTED	-
CM-BRANCH-NAME-CONSISTENCY	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-BRANCH-TAXONOMY-CLASS	UNIMPLEMENTED	-
CM-BUILDGRAPH-DRYRUN-WIRED	UNIMPLEMENTED	-
CM-BUILD-RESOURCE-STATS-TRACKER	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CANONICAL-ROOT-CLARITY	UNIMPLEMENTED	-
CM-CHANGE-IMPACT-CLASH-DETECTOR	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CI-WORKFLOW-PRESENT	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CLEAN-ARTIFACT-RUNTIME-SIGNATURE	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CLOSURE	UNIMPLEMENTED	-
CM-CODEGRAPH-WIRED	UNIMPLEMENTED	-
CM-CODE-REVIEW-FABLE-XHIGH	UNIMPLEMENTED	-
CM-CODE-REVIEW-GATE-BEFORE-BUILD	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CODE-REVIEW-ITERATE-UNTIL-GO	UNIMPLEMENTED	-
CM-COMMIT-ALL-SIBLING-CHECK	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COMMIT-DOCS-EXISTS	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CONSTITUTION-AUTO-PROPAGATION	UNIMPLEMENTED	-
CM-CONTAINERIZED-DISTRIBUTED-BUILD	UNIMPLEMENTED	-
CM-CONTAINERS-USED	UNIMPLEMENTED	-
CM-CONTINUATION-DOC-INSYNC	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-CONTINUOUS-MULTITRACK-BACKFILL	UNIMPLEMENTED	-
CM-CONTINUUM-RESUME-ENGINE-PRESENT	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/cm_continuum_resume_engine_present.sh
CM-COVENANT-114-101-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-102-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-103-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-104-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-105-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-106-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-107-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-108-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-109-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-110-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-111-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-112-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-113-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-114-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-115-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-116-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-117-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-118-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-119-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-120-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-121-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
CM-COVENANT-114-122-PROPAGATION	IMPLEMENTED	/tmp/.private/milos/tmp.99M1qVF5H6/pre_build_verification.sh
